studyid,workflowid,threshold,numerator,denominator,log_denominator
AA-AA-000-0000,kri0001,-7,0.20207267102555,5096.42382069382,8.53629436111989
AA-AA-000-0000,kri0001,-7,0.488930811849706,5357.72305757767,8.58629436111989
AA-AA-000-0000,kri0001,-7,0.836093910177852,5632.41939281878,8.63629436111989
AA-AA-000-0000,kri0001,-7,1.23980059277018,5921.19971033819,8.68629436111989
AA-AA-000-0000,kri0001,-7,1.69955418267833,6224.78611134862,8.73629436111989
AA-AA-000-0000,kri0001,-7,2.21625576943612,6543.93771998371,8.78629436111989
AA-AA-000-0000,kri0001,-7,2.79159863846183,6879.45258150369,8.83629436111989
AA-AA-000-0000,kri0001,-7,3.42781020328754,7232.16965782425,8.88629436111989
AA-AA-000-0000,kri0001,-7,4.12752501612063,7602.97092535832,8.93629436111989
AA-AA-000-0000,kri0001,-7,4.89371706501995,7992.78358041647,8.98629436111989
AA-AA-000-0000,kri0001,-7,5.72966240500675,8402.58235768071,9.03629436111989
AA-AA-000-0000,kri0001,-7,6.63891880683313,8833.39196754883,9.08629436111989
AA-AA-000-0000,kri0001,-7,7.6253156858158,9286.28965844423,9.13629436111989
AA-AA-000-0000,kri0001,-7,8.6929506457363,9762.40791049801,9.18629436111989
AA-AA-000-0000,kri0001,-7,9.8461905285011,10262.9372673392,9.23629436111989
AA-AA-000-0000,kri0001,-7,11.0896757005063,10789.129313074,9.28629436111989
AA-AA-000-0000,kri0001,-7,12.4283267852887,11342.299801898,9.33629436111989
AA-AA-000-0000,kri0001,-7,13.867353337217,11923.8319481669,9.38629436111989
AA-AA-000-0000,kri0001,-7,15.4122641275757,12535.1798851529,9.43629436111989
AA-AA-000-0000,kri0001,-7,17.0688788275693,13177.8723011354,9.48629436111989
AA-AA-000-0000,kri0001,-7,18.8433409475552,13853.5162619178,9.53629436111989
AA-AA-000-0000,kri0001,-7,20.7421319426736,14563.8012293294,9.58629436111989
AA-AA-000-0000,kri0001,-7,22.7720864305768,15310.5032857596,9.63629436111989
AA-AA-000-0000,kri0001,-7,24.9404084924611,16095.4895752892,9.68629436111989
AA-AA-000-0000,kri0001,-7,27.2546890474069,16920.7229725232,9.73629436111989
AA-AA-000-0000,kri0001,-7,29.7229243042796,17788.2669907994,9.78629436111989
AA-AA-000-0000,kri0001,-7,32.3535353065523,18700.2909420471,9.83629436111989
AA-AA-000-0000,kri0001,-7,35.1553885943398,19659.0753611965,9.88629436111989
AA-AA-000-0000,kri0001,-7,38.1378180153207,20667.0177087039,9.93629436111989
AA-AA-000-0000,kri0001,-7,41.3106477225429,21726.6383654519,9.98629436111989
AA-AA-000-0000,kri0001,-7,44.6842164026544,22840.586935014,10.0362943611199
AA-AA-000-0000,kri0001,-7,48.2694027831355,24011.6488690441,10.0862943611199
AA-AA-000-0000,kri0001,-7,52.0776524717703,25242.7524323561,10.1362943611199
AA-AA-000-0000,kri0001,-7,56.1210061860327,26536.9760251115,10.1862943611199
AA-AA-000-0000,kri0001,-7,60.4121294343576,27897.5558804233,10.2362943611199
AA-AA-000-0000,kri0001,-7,64.9643437154957,29327.894156624,10.2862943611199
AA-AA-000-0000,kri0001,-7,69.7916593063734,30831.5674444341,10.3362943611199
AA-AA-000-0000,kri0001,-7,74.9088097131343,32412.3357103015,10.3862943611199
AA-AA-000-0000,kri0001,-7,80.3312878643641,34074.1516982764,10.4362943611199
AA-AA-000-0000,kri0001,-7,86.0753841299444,35821.17081393,10.4862943611199
AA-AA-000-0000,kri0001,-7,92.1582262535329,37657.7615150331,10.5362943611199
AA-AA-000-0000,kri0001,-7,98.5978212913947,39588.5162349756,10.5862943611199
AA-AA-000-0000,kri0001,-7,105.4130996552,41618.2628662429,10.6362943611199
AA-AA-000-0000,kri0001,-7,112.623961361488,43752.0768326607,10.6862943611199
AA-AA-000-0000,kri0001,-7,120.251324595795,45995.2937805993,10.7362943611199
AA-AA-000-0000,kri0001,-7,128.317176704983,48353.522920868,10.7862943611199
AA-AA-000-0000,kri0001,-5,0.0980671094850419,2530.80917124901,7.83629436111989
AA-AA-000-0000,kri0001,-5,0.24312827828122,2660.56653217745,7.88629436111989
AA-AA-000-0000,kri0001,-5,0.419101675422355,2796.97669526354,7.93629436111989
AA-AA-000-0000,kri0001,-5,0.623956959508357,2940.38075696789,7.98629436111989
AA-AA-000-0000,kri0001,-5,0.857401060492142,3091.1373021406,8.03629436111989
AA-AA-000-0000,kri0001,-5,1.11987346598022,3249.62330067017,8.08629436111989
AA-AA-000-0000,kri0001,-5,1.41222540046933,3416.23505010461,8.13629436111989
AA-AA-000-0000,kri0001,-5,1.73558413001234,3591.38916660167,8.18629436111989
AA-AA-000-0000,kri0001,-5,2.09128647096682,3775.52362668631,8.23629436111989
AA-AA-000-0000,kri0001,-5,2.48084342016614,3969.09886242011,8.28629436111989
AA-AA-000-0000,kri0001,-5,2.90592064281855,4172.59891272121,8.33629436111989
AA-AA-000-0000,kri0001,-5,3.36832782832636,4386.53263371384,8.38629436111989
